description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
,0,358.87,Used,0,None,Unknown,32,iPad mini,0,11269
,0,939,New,1,Unknown,Gold,128,iPad Air 2,0,11270
"The Apple iPad is in fair cosmetic condition.  What&#039;s Not Included: Original box, Instructions, ",0,279.99,Used,0,None,White,16,iPad mini 2,0,11271
,0,575,Used,0,None,Gold,64,iPad Air 2,0,11272
NEW! Only the outer shrink wrap was removed. Includes all original accessories and manual.,0,544.49,New other (see details),0,None,Black,32,iPad 4,0,11273
,1,515,Used,0,None,Space Gray,64,iPad Air 2,0,11274
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,142.25,Used,0,None,Black,32,iPad 2,0,11275
,0,349.99,Used,0,None,Black,64,iPad mini,0,11276
"Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11277
,1,300,Used,0,None,Black,32,iPad mini,0,11278
,1,249,New other (see details),0,None,Space Gray,16,iPad mini 3,1,11279
This TABLET is in good condition with minor scratches on the housing or screen (does not affect ,0,95,Used,0,None,White,32,iPad 1,0,11280
,1,25,New,0,None,Gold,16,iPad mini 3,1,11281
,0,561.53,New,Unknown,Unknown,White,Unknown,Unknown,0,11282
,0,948.98,New,1,Unknown,Gold,128,iPad mini 3,0,11283
Used for online school (2 classes),0,300,Used,0,None,Unknown,16,Unknown,1,11284
,1,320,Used,0,None,Unknown,64,iPad mini,0,11285
,0,424.55,New,0,None,Gold,16,iPad Air 2,1,11286
***** CRACKED DIGITIZER SCREEN *****,0,540,Used,1,Verizon,Unknown,32,iPad 4,0,11287
,0,300,Used,0,None,Space Gray,16,iPad mini 2,0,11288
,1,0.99,Used,0,None,Black,16,iPad 2,1,11289
,0,349.99,New other (see details),0,None,White,16,iPad 2,0,11290
,0,299.99,Manufacturer refurbished,0,None,White,16,iPad mini 2,0,11291
,0,799.99,New,1,Unknown,White,128,iPad mini 3,0,11292
,1,100,Used,Unknown,Unknown,Gold,64,iPad Air 2,1,11293
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,165,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11294
,0,425,New,0,None,Gold,16,iPad Air 2,1,11295
Unable to accept new apple updates but still connects to wifi networks,1,70,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,1,11296
,0,349,New,0,None,Gold,16,iPad mini 3,0,11297
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,280,Used,1,Unknown,White,16,iPad 4,0,11298
,0,499,Used,0,None,Unknown,64,iPad Air 2,0,11299
,1,650,New,1,Unknown,Gold,128,iPad Air 2,1,11300
Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ,0,314.99,Seller refurbished,0,None,Black,64,iPad 3,0,11301
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11302
"This item is Used &amp; in Fair cosmetic condition - 100% Fully Functional, iCloud clear, professionally ",0,149.99,Used,0,None,White,32,iPad 2,0,11303
"Near perfect cosmetic, perfect working condition.",0,220,Used,0,None,Unknown,16,iPad 3,0,11304
*Great condition*Minimal use*Case included,0,199.99,Used,Unknown,Unknown,Unknown,16,iPad 1,0,11305
,0,798,New,0,None,Gold,64,iPad Air 2,0,11306
,1,149.98,Used,Unknown,Unknown,White,16,Unknown,0,11307
USED / Cosmetics and few scratches / GOOD Condition / Perfect working,0,520,Used,0,None,White,128,iPad 4,0,11308
Very good contidion,0,95,Used,0,None,Black,16,iPad 1,0,11309
,0,351,New,0,None,Unknown,16,iPad mini,0,11310
VERY GOOD CONDITION. VERY LITTLE TO NO SCRATCHES. PROTECTIVE CASE HAS A LITTLE WEAR ON CORNERS (SEE ,1,229.95,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11311
,0,189.99,Used,0,None,Unknown,16,iPad mini,0,11312
Good Condition. Fully Functional.,1,0.99,Used,0,None,White,16,iPad 2,1,11313
,0,259,New,0,None,Space Gray,16,iPad mini,0,11314
,0,399,Used,Unknown,AT&T,White,32,Unknown,0,11315
This item is used and in acceptable condition. Minor dents on back plate and medium/moderate ,0,104.99,Used,0,None,Unknown,32,iPad 1,0,11316
,0,569,New,0,None,White,128,iPad mini 3,0,11317
Used but in fair condition. It has many scratches on the housing and the screen but nothing major. ,0,214.99,Used,0,None,White,16,iPad 3,0,11318
Virtually flawless. In case from Day 1. No visible defects or scratches,0,385,Used,1,Verizon,White,64,iPad mini 2,1,11319
One owner very clean.,0,199,Used,0,None,White,16,iPad 2,0,11320
,1,600,New,1,Unknown,Space Gray,64,iPad Air 2,0,11321
"The screen is Brand New.  This item is in Heavily Used cosmetic condition. 100% Fully Functional, ",0,134.34,Used,1,AT&T,Black,16,iPad 2,0,11322
Great Condition,1,1,Used,0,None,White,128,iPad Air,1,11323
,1,79.95,Used,0,None,Black,32,iPad mini 2,1,11324
"In 100% pristine condition. No scratches, dents, or dings",1,350,Used,1,Unknown,Space Gray,32,iPad mini 2,0,11325
,1,40,Used,0,None,Unknown,Unknown,Unknown,1,11326
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, iCloud clear, ",0,141.09,Used,0,None,White,32,iPad 2,0,11327
"Excellent, see photos",0,375,Used,1,Verizon,White,64,iPad mini,0,11328
"This iPad has been used, but cared for and is in perfect condition.  It comes with Apple&#039;s Smart ",1,445,Used,0,None,White,128,iPad 4,0,11329
,1,0.01,New,Unknown,Unknown,White,16,iPad mini 3,1,11330
,0,650,Used,1,Unknown,Unknown,128,iPad Air,0,11331
Works like new.,1,45,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11332
,0,295,Used,1,Unknown,Black,16,iPad 3,0,11333
,0,560,New,0,None,Unknown,64,iPad Air 2,0,11334
USED IN GOOD WORKING CONDITION - HAS COSMETIC SCRATCHES/BLEMISHES...SCRATCHES ARE NOT VISIBLE WHEN ,1,220,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11335
,0,599.99,New,1,Unknown,White,128,iPad mini 3,0,11336
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,395,Used,0,None,White,64,iPad 2,0,11337
Excellent condition,0,379,Used,1,AT&T,White,32,iPad Air,0,11338
,0,389.99,Used,0,None,Unknown,64,iPad mini 3,0,11339
,0,609.99,New,1,Unknown,Space Gray,128,iPad mini 3,0,11340
Like New with box,0,187.89,Used,0,None,Space Gray,16,iPad mini,0,11341
,0,175,Used,0,None,Unknown,16,iPad mini,0,11342
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN / IMEI ",0,280.99,Used,1,AT&T,White,32,iPad 4,0,11343
Excellent condition and fully functional,1,0.99,Seller refurbished,1,Unknown,Black,16,iPad Air,1,11344
Used - Good Working Condition,0,99,Used,0,None,Black,32,iPad 1,0,11345
,1,215,Used,Unknown,None,Unknown,32,iPad mini,0,11346
"Excellent condition, no scratches or dented well kept as shown in pics. Came with charger and data ",0,200,Used,0,None,White,16,iPad mini,0,11347
,0,295,New,0,None,White,16,iPad mini,0,11348
,1,175,Used,0,None,White,32,iPad 2,0,11349
,0,499,Used,0,None,Space Gray,64,iPad Air 2,1,11350
,1,150,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11351
,0,425,Used,1,AT&T,Black,64,iPad 2,0,11352
"Screen has a couple small, unnoticeable single scratches. Largest scratch somewhat noticeable is ",1,9.99,Used,1,AT&T,Unknown,32,iPad 2,1,11353
,0,300,Used,0,None,White,16,iPad Air,1,11354
"Pristine Condition(9.5/10), is very clean with no scratches, dents, or screen imperfections.  Unit ",0,589,Used,0,None,Gold,128,iPad Air 2,0,11355
,0,575,New,1,Unknown,Unknown,32,iPad mini 2,0,11356
like new in open box. Looks like it may have only been used once or twice.,0,24.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11357
In mint condition,0,320,Used,1,Unknown,Unknown,16,iPad 4,0,11358
,0,595,New,Unknown,Unknown,Unknown,Unknown,Unknown,1,11359
"iPad Black 3rd generation 64Gb storage Model Mc707ll/a iPad is in very nice shape, glass and case ",1,200,Used,Unknown,Unknown,Unknown,Unknown,iPad 3,0,11360
"APPLE iPAD AIR 32GB WHITE MD789LL/B WHITE. This item is Previously Lightly Used, in Good Condition. ",1,0.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11361
,0,285,New,0,None,Black,16,iPad mini,0,11362
,0,498.88,New,1,Verizon,Gold,16,iPad mini 3,0,11363
,0,350,Used,0,None,Black,Unknown,iPad mini,0,11364
A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ,0,204,Used,0,None,White,64,iPad 2,0,11365
"Item still in complete working order, minor scratches, normal wear and tear but no damage. screen is ",1,125,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,1,11366
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,276.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11367
,1,0.99,Manufacturer refurbished,0,None,White,64,iPad mini 2,1,11368
,1,50,Used,Unknown,Unknown,Space Gray,Unknown,Unknown,1,11369
,0,459.95,New,0,None,Gold,16,iPad Air 2,0,11370
,0,529.95,New,0,None,Space Gray,16,iPad Air 2,0,11371
"Fully working, used condition. iPad ONLY.",0,265,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11372
,0,459.99,New,0,None,Unknown,16,iPad Air 2,0,11373
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,360.24,Seller refurbished,1,Verizon,White,64,iPad Air,0,11374
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN &amp; ",0,261.99,Seller refurbished,1,Sprint,Black,16,iPad 4,0,11375
,0,573.74,New,0,None,Unknown,64,iPad 4,0,11376
,1,315,Used,0,None,Space Gray,32,iPad mini 2,0,11377
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,340,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11378
,0,440,New,0,None,Gold,16,iPad Air 2,0,11379
"Use condition, some marks and scratches, few small dents, comes with non original charger (works for ",0,180,Used,0,None,Black,16,iPad 2,0,11380
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; ",0,237.99,Seller refurbished,1,AT&T,Black,16,iPad 4,0,11381
,0,439.99,New,0,None,Gold,16,iPad Air 2,1,11382
,0,395,New,Unknown,Unknown,Space Gray,Unknown,Unknown,0,11383
,0,598.98,New,0,None,Gold,16,iPad Air 2,0,11384
,0,240,New other (see details),0,None,Black,16,iPad 4,0,11385
,1,150,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11386
Still looks brand new... Kept in otterbox the entire time,0,300,Used,0,None,White,32,iPad 3,0,11387
,0,300,Manufacturer refurbished,Unknown,Unknown,Unknown,Unknown,iPad mini,0,11388
Refurbished,0,168,Seller refurbished,0,None,Unknown,Unknown,Unknown,0,11389
,0,212.99,Used,0,None,White,16,iPad 2,0,11390
,1,20,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,0,11391
,0,639.99,New,0,None,Space Gray,64,iPad Air 2,0,11392
,0,350,New,1,Sprint,White,32,Unknown,0,11393
,0,498.88,New,1,Verizon,Gold,16,iPad mini 3,0,11394
"The ipad is in great condition, it has been very well taken care of.  Please note the smart cover is ",0,400,Used,1,Sprint,Unknown,16,iPad 4,0,11395
,0,279.5,Used,Unknown,Unknown,Black,32,iPad 4,0,11396
,0,999,Used,0,None,Unknown,32,iPad mini,0,11397
,0,298,Used,0,None,Unknown,16,iPad mini,0,11398
,0,499.99,New,0,None,Space Gray,16,iPad Air 2,0,11399
,0,149.99,Used,0,None,Black,16,iPad 2,1,11400
,0,125,Used,1,AT&T,Black,64,iPad 1,0,11401
,0,275,Manufacturer refurbished,Unknown,Unknown,Black,Unknown,iPad 4,0,11402
,0,473.6,New,Unknown,Unknown,Black,Unknown,Unknown,0,11403
,0,520.9,New,Unknown,Unknown,White,Unknown,Unknown,0,11404
,0,339.99,New,1,Sprint,Black,32,iPad mini,0,11405
"Used item, has signs of normal wear. see pictures or description.",1,0.99,Used,0,None,Black,32,Unknown,1,11406
,0,648,New,0,None,White,32,iPad Air,0,11407
,0,648,New,0,None,White,32,iPad Air,0,11408
,1,450,Used,0,None,Space Gray,128,iPad Air,0,11409
Excellent Condition,0,220,Used,0,None,Unknown,64,iPad 2,0,11410
,1,300,New other (see details),0,None,White,16,iPad mini,0,11411
iPad working great - both iPhones have broken but fully functioning,0,195,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11412
,0,695,New other (see details),1,AT&T,White,128,iPad 4,0,11413
,1,0.99,Used,0,None,Space Gray,16,iPad Air 2,1,11414
,0,175,Used,Unknown,Unknown,White,16,iPad 2,0,11415
,1,0.99,Used,Unknown,Unknown,Unknown,32,iPad Air,1,11416
"Perfect working order, cannot be updated past 5.1.1 . some cosmetic blemishes on the hard shell on ",0,99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11417
,0,375,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11418
,1,700,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11419
,0,150,Used,0,None,Space Gray,16,iPad mini,1,11420
,0,329,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,1,11421
,1,1,Used,0,None,Space Gray,16,iPad Air,1,11422
,0,700,New other (see details),0,None,White,64,Unknown,0,11423
,0,200,New,0,None,Space Gray,16,iPad mini,0,11424
,0,599,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11425
,0,525,New,1,Verizon,Space Gray,16,iPad mini 3,0,11426
,0,179.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,1,11427
,0,300,Used,0,None,White,Unknown,iPad Air,0,11428
"Perfect working condition, kept in Otterbox Defender case since day 1. Please see photos for ",0,290,Used,1,Verizon,Space Gray,64,iPad mini,0,11429
,1,50,Used,1,AT&T,Black,Unknown,iPad 1,1,11430
NEAR NEW CONDITION. ORIGINAL BOX AND CHARGER.,0,325,Seller refurbished,Unknown,Unknown,White,Unknown,iPad Air,0,11431
great condition,1,100,Used,Unknown,Unknown,Unknown,16,iPad 2,0,11432
,0,150,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11433
,0,325,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11434
,1,100,Used,0,None,Black,16,iPad 2,1,11435
,0,399,New,Unknown,Unknown,Gold,16,iPad mini 3,0,11436
,1,180,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11437
,0,109.99,New,Unknown,Unknown,White,Unknown,iPad mini,0,11438
,0,110,Used,0,None,Black,16,iPad 1,0,11439
,0,51.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11440
,1,14.49,New,Unknown,Unknown,Black,Unknown,Unknown,1,11441
"Open box, was on exhibition, never used before.",0,44.99,New other (see details),Unknown,Unknown,Unknown,Unknown,Unknown,1,11442
Have signs of wear. Includes all accessories except the remote control and the user guide. Work ,0,30.99,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,11443
,0,3.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11444
,0,8.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11445
,0,127.95,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11446
,0,220,Used,Unknown,Unknown,Unknown,Unknown,iPad 1,0,11447
,0,4.69,New,Unknown,Unknown,Unknown,Unknown,Unknown,1,11448
,0,9.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11449
,0,139.99,New,Unknown,Unknown,Black,Unknown,Unknown,0,11450
,0,69.99,New,Unknown,Unknown,Unknown,Unknown,iPad 2,0,11451
,0,139,New,Unknown,Unknown,Unknown,Unknown,iPad mini,0,11452
,1,350,New,0,None,White,32,iPad mini,1,11453
,0,39.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11454
,0,9.95,New,Unknown,Unknown,Space Gray,Unknown,Unknown,0,11455
,0,28,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11456
Item is used and in like new condition. Item comes in original packaging.,0,70.99,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11457
Tested Working - Great condition! -  Grade A,0,255,Seller refurbished,Unknown,Unknown,Unknown,Unknown,Unknown,0,11458
,0,28.75,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11459
,0,339.98,New,0,None,Gold,16,iPad mini 3,0,11460
,0,750,New,1,Unknown,Unknown,128,iPad Air,0,11461
,1,0.99,Used,0,None,Unknown,32,iPad 1,1,11462
,0,250,New other (see details),0,None,Black,16,iPad mini 2,0,11463
,0,332.5,New,0,None,White,16,iPad mini 3,0,11464
,0,118.95,New,0,None,White,16,Unknown,0,11465
"Ipad has been cleared and factory reset, icloud has been removed and ready for new owner to setup. ",0,149.99,Used,Unknown,Unknown,White,Unknown,Unknown,0,11466
Accounts of scuffs on back from case,1,100,Used,0,None,Unknown,32,iPad 2,1,11467
,0,199.99,Used,0,None,Black,32,iPad 2,0,11468
As depicted and described. THIS IS A RE-LISTING DUE TO WINNING BIDDER ON BUY IT NOW DEFAULTING AND ,1,100,Used,0,None,White,16,iPad mini,1,11469
,1,75,Used,0,None,Black,16,iPad mini,1,11470
,1,0.99,Used,1,Verizon,Space Gray,64,iPad 2,0,11471
,1,215,Seller refurbished,1,AT&T,Black,16,iPad mini 2,0,11472
,0,395,New,1,Unknown,Unknown,64,iPad mini 2,1,11473
Used in good condition. Reset to factory settings. Includes otter box.,1,0.99,Used,1,Sprint,White,16,iPad Air,1,11474
,0,509,New,1,Unknown,Space Gray,32,iPad mini 2,0,11475
,1,155,Seller refurbished,1,AT&T,Black,16,iPad 2,1,11476
,1,100,Used,1,AT&T,Black,16,iPad 4,1,11477
,1,375,Used,1,AT&T,White,16,Unknown,0,11478
,0,199.99,Used,0,None,White,32,iPad 2,0,11479
,0,289,Used,0,None,White,16,iPad mini 2,0,11480
,0,645,New,0,None,Gold,128,iPad Air 2,0,11481
"Manufacturer refurbished, i had it for 2 years already with minor scrapes and it work properly. ",1,265,Used,0,None,White,16,iPad mini,0,11482
,1,0.99,New,0,None,Unknown,16,iPad mini 2,1,11483
,1,450,Used,Unknown,Unknown,Space Gray,16,iPad mini 2,0,11484
,1,599.99,New,0,None,White,16,Unknown,0,11485
,1,729.99,New,0,None,White,64,iPad Air 2,0,11486
,0,749,New,1,Unknown,Gold,128,iPad Air 2,0,11487
,1,729.99,New,0,None,Space Gray,128,iPad mini 3,0,11488
,1,499.99,New,0,None,Gold,16,iPad mini 3,0,11489
"But in mint condition,comes with a screen protector,case,charger,earbuds.",0,225,Used,Unknown,Unknown,Space Gray,16,Unknown,0,11490
,1,499.99,New,0,None,White,16,iPad mini 3,0,11491
,1,599.99,New,0,None,White,64,iPad mini 3,0,11492
,1,729.99,New,0,None,White,128,iPad mini 3,0,11493
Includes all original packaging. Bought new two months ago and too late to return it. My loss is ,1,350,New other (see details),1,AT&T,White,16,iPad mini 2,0,11494
,0,300,New,0,None,Unknown,64,iPad 3,0,11495
,1,350,New,Unknown,Unknown,White,16,iPad mini,0,11496
,0,320,Manufacturer refurbished,0,None,White,32,iPad Air,1,11497
,0,425.99,New,0,None,Black,32,Unknown,0,11498
,0,260,New,0,None,White,16,iPad mini 2,1,11499
,0,237,New,0,None,White,16,iPad mini 2,1,11500
,0,150,Used,0,None,Black,16,iPad mini,1,11501
,0,180,Used,0,None,Black,16,iPad 2,0,11502
,0,80,Used,0,None,Black,16,iPad 1,1,11503
brand new&lt;br&gt;,0,100,New other (see details),0,None,Unknown,16,iPad mini,1,11504
,0,179,Used,1,Verizon,White,32,iPad 2,1,11505
,1,144.95,New,0,None,Unknown,Unknown,iPad Air,0,11506
,0,69.99,Used,0,None,Black,16,iPad 1,1,11507
,0,315,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,1,11508
,0,135,Used,1,AT&T,Black,16,iPad 2,1,11509
,0,235,Used,0,None,White,16,iPad mini Retina,0,11510
,0,160,Used,0,None,Black,16,iPad mini,1,11511
,0,235,New,0,None,Space Gray,16,iPad mini,0,11512
"only a few months old, a few scratches",0,295,Used,0,None,Unknown,64,iPad mini 2,1,11513
â€œGrade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,219,Manufacturer refurbished,1,Verizon,Black,16,iPad mini,1,11514
,0,299,Used,0,None,Gold,16,iPad mini 3,0,11515
,0,280,New,0,None,White,16,iPad mini 2,1,11516
There is a small dent at the site of the dock connector port.  Often times you have to depress the ,0,330,Used,1,AT&T,White,32,iPad 2,0,11517
,0,180,Used,1,AT&T,Space Gray,16,iPad mini,1,11518
In perfect condition! Not a scratch!,0,500,Used,1,AT&T,White,128,iPad Air,0,11519
,0,205,Used,1,Verizon,Unknown,16,iPad mini,1,11520
,0,208,Used,0,None,Unknown,64,iPad mini,1,11521
,0,419,New,0,None,Unknown,16,iPad Air 2,1,11522
In new condition only used a short time and always had it in the case. Also selling the case with ,0,165,Used,0,None,Black,16,iPad 1,0,11523
,0,650,New,1,AT&T,Unknown,128,iPad mini 3,1,11524
,0,290,New,0,None,White,16,iPad mini 3,1,11525
,0,347,New,0,None,White,32,Unknown,0,11526
,0,175,Used,1,AT&T,Unknown,32,iPad 1,0,11527
,0,400,New,1,Verizon,Unknown,32,iPad mini,0,11528
,0,730,New,1,Unknown,White,128,iPad Air 2,0,11529
,0,150,Used,1,Sprint,Unknown,16,iPad mini,1,11530
,0,225,Used,0,None,Space Gray,16,iPad mini 2,0,11531
barely used,0,325,Used,0,None,Unknown,32,iPad mini 2,0,11532
,0,749.99,New,1,Unknown,Space Gray,128,iPad Air 2,0,11533
,0,225,New,0,None,Unknown,16,iPad mini,0,11534
,0,150,Used,0,None,Unknown,64,iPad 1,1,11535
"Good overall condition, used very lightly. Some minor signs of wear on back of case, screen in ",0,128,Used,1,AT&T,Unknown,16,iPad 2,1,11536
Like New!!!,0,105,Used,0,None,Unknown,32,iPad 1,0,11537
,0,175,Used,0,None,Unknown,16,iPad mini,0,11538
"Item in near perfect condition, without original box - comes with certified lightening cable and ",0,550,Manufacturer refurbished,1,Unknown,Unknown,64,iPad Air,0,11539
,0,349.95,New,0,None,Unknown,16,iPad mini 3,1,11540
,0,250,Used,0,None,Unknown,16,iPad mini,0,11541
,0,145,Used,0,None,Black,64,iPad 1,0,11542
Only had for 2 months and just don&#039;t have a need for it but in perfect shape!! Will be unlocked only ,0,210,Used,0,None,Unknown,16,iPad mini,0,11543
,0,90,Used,1,AT&T,Black,32,iPad 1,1,11544
,0,100,Used,0,None,Black,16,iPad 1,0,11545
,0,331.99,New,0,None,Gold,16,iPad mini 3,0,11546
,0,348.6,New,1,AT&T,Space Gray,16,iPad mini,0,11547
,0,308,New other (see details),0,None,Space Gray,16,iPad mini 2,0,11548
This iPad Air is less than a year old. The 1 yr limited warranty expires July 17. It is in perfect ,0,349,Used,0,None,Unknown,32,iPad Air,0,11549
,0,70,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11550
,0,350,Used,0,None,Unknown,16,iPad 2,0,11551
,0,710,Used,1,Unknown,Gold,128,iPad Air 2,0,11552
,0,230,Used,0,None,Unknown,16,iPad mini,0,11553
Small scratches on the back of the IPad. Screen is in flawless condition.,0,275,New other (see details),0,None,Unknown,16,iPad 2,0,11554
,0,380,Used,1,T-Mobile,Space Gray,32,iPad mini 2,1,11555
,0,399.99,New,0,None,Unknown,16,iPad mini 3,0,11556
,0,280,New,0,None,Black,Unknown,iPad mini,0,11557
"In very good condition, some scratches on corner but otherwise almost new",0,220,Used,0,None,Unknown,16,iPad 2,0,11558
Like out of the box new been in otter box since day one comes with otter box,0,525,Used,1,AT&T,Unknown,16,iPad 2,0,11559
,0,149,Used,1,AT&T,Black,16,iPad 1,0,11560
,0,350,Used,1,Verizon,White,32,iPad mini,1,11561
,0,275,New,0,None,Unknown,16,iPad mini,0,11562
,0,300,Used,0,None,Space Gray,16,iPad Air,0,11563
,0,327.58,New other (see details),0,None,Space Gray,32,iPad mini 2,0,11564
,0,250,Seller refurbished,0,None,Unknown,16,iPad mini,0,11565
"Works Perfectly, Excellent Condition. Has A Screen Protector And Comes With Smart Case And A Pouch ",0,400,Used,0,None,Unknown,64,iPad Air,0,11566
,0,420,Used,0,None,White,Unknown,iPad mini Retina,1,11567
perfect condition,0,289,Used,Unknown,Unknown,Unknown,Unknown,iPad mini,0,11568
,0,375,Used,0,None,White,64,iPad mini 2,0,11569
"Flawless, barely used, just like brand new, completely erased and reset, no scratches, no cracks, ",0,250,Used,Unknown,Unknown,Black,Unknown,Unknown,1,11570
,0,525,Used,0,None,Space Gray,64,iPad Air 2,0,11571
"Fantastic condition, fully functional. Small ding on lower right corner, no impact on screen. Case ",0,269.95,Used,0,None,Black,16,iPad 3,0,11572
,0,455,New,0,None,Space Gray,16,iPad Air,0,11573
,0,200,Used,0,None,White,16,Unknown,0,11574
,0,149.99,Used,1,AT&T,Black,32,iPad 1,0,11575
Minor wear along lower chrome edge. Otherwise flawless. No scratches or marks on glass.,0,400,Used,0,None,Unknown,64,iPad Air,0,11576
,0,315,Used,Unknown,Unknown,Unknown,16,iPad 4,0,11577
,0,500,New,0,None,Unknown,16,iPad mini 3,0,11578
,0,70,Used,0,None,Black,Unknown,iPad 1,0,11579
,0,450,Used,0,None,Unknown,32,iPad 3,0,11580
Works great!,0,8,Used,Unknown,Unknown,Unknown,Unknown,iPad 4,1,11581
,0,195,Manufacturer refurbished,1,AT&T,Black,16,iPad 4,1,11582
,0,4.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,1,11583
,0,259.99,New,0,None,White,16,iPad mini,0,11584
"Half of the screen doesn&#039;t work and it&#039;s cracked, damage shown in pictures.",0,100,Used,Unknown,Unknown,Unknown,16,Unknown,0,11585
In perfect condition. No physical flaws.,0,350,Used,0,None,Unknown,32,iPad Air,0,11586
Perfect condition. NO scratches or dents.,0,380,Used,Unknown,Unknown,Black,16,Unknown,0,11587
Barley been used! In great condition. Excellent camera. Light and durable. You will love it!,0,200,Seller refurbished,0,None,Unknown,16,iPad 3,0,11588
,0,150,Used,0,None,Unknown,16,Unknown,1,11589
,0,380,New,0,None,White,16,iPad mini 3,1,11590
,0,2.99,New,Unknown,Unknown,Unknown,Unknown,Unknown,0,11591
,0,350,New,Unknown,Unknown,White,16,iPad mini 2,0,11592
,1,60,For parts or not working,1,Verizon,Unknown,16,iPad mini,0,11593
No scratches. Not in box. Like new.,0,480,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11594
,0,175,Used,0,None,Black,16,iPad 3,0,11595
broken,0,69.69,For parts or not working,0,None,Unknown,64,iPad 3,1,11596
,0,175,Used,Unknown,Unknown,Unknown,Unknown,Unknown,0,11597
The ipad won&#039;t power on. I set it on a charger for a while and nothing happened. Since I can&#039;t get ,1,15,For parts or not working,1,AT&T,Unknown,32,iPad 1,1,11598
PLEASE READ DESCRIPTION BELOW,0,119.88,For parts or not working,1,Verizon,Unknown,32,iPad 4,0,11599
,0,225,For parts or not working,0,None,Unknown,16,iPad mini 2,0,11600
,0,29.99,For parts or not working,1,AT&T,Unknown,16,iPad mini,1,11601
,1,119.99,For parts or not working,Unknown,Unknown,Unknown,Unknown,Unknown,0,11602
Work fineiCloud lock,1,0.99,For parts or not working,0,None,White,16,iPad 4,1,11603
,0,150,For parts or not working,0,None,Unknown,16,iPad 4,0,11604
,0,229,For parts or not working,Unknown,Unknown,Unknown,16,iPad Air,1,11605
